player,team,position,salary
Juan Soto,New York Mets,OF,61875000
Zack Wheeler,Philadelphia Phillies,P,42000000
Vladimir Guerrero Jr.,Toronto Blue Jays,1B,40214285
Aaron Judge,New York Yankees,OF,40000000
Anthony Rendon,Los Angeles Angels,3B,38571432
Jacob deGrom,Texas Rangers,P,38000000
Mike Trout,Los Angeles Angels,OF,37116666
Cody Bellinger,New York Yankees,OF,36500000
Gerrit Cole,New York Yankees,P,36000000
Alex Bregman,Chicago Cubs,3B,35000000
Jose Altuve,Houston Astros,2B,33000000
Carlos Correa,Houston Astros,3B,32833333
Tyler Glasnow,Los Angeles Dodgers,P,32500000
Francisco Lindor,New York Mets,SS,32477821
Tarik Skubal,Detroit Tigers,P,32000000
Corey Seager,Texas Rangers,SS,31500000
Sonny Gray,Boston Red Sox,P,31000000
Corbin Burnes,Arizona Diamondbacks,P,30833333
Nathan Eovaldi,Texas Rangers,P,29000000
Giancarlo Stanton,New York Yankees,DH,29000000
Shohei Ohtani,Los Angeles Dodgers,DH,28216944
Dansby Swanson,Chicago Cubs,SS,28000000
Blake Snell,Los Angeles Dodgers,P,27869485
Carlos Rodon,New York Yankees,P,27833333
Bryce Harper,Philadelphia Phillies,1B,27538462
Trea Turner,Philadelphia Phillies,SS,27272727
Nolan Arenado,Arizona Diamondbacks,3B,27000000
Kris Bryant,Colorado Rockies,OF,27000000
Rafael Devers,San Francisco Giants,3B,27000000
Yordan Alvarez,Houston Astros,DH,26833333
Marcus Semien,New York Mets,2B,26000000
Xander Bogaerts,San Diego Padres,SS,25454545
Dylan Cease,Toronto Blue Jays,P,25285714
Mookie Betts,Los Angeles Dodgers,SS,25167520
Matt Chapman,San Francisco Giants,3B,25166666
Manny Machado,San Diego Padres,3B,25090909
José Ramírez,Cleveland Guardians,3B,25000000
Robbie Ray,San Francisco Giants,P,25000000
Luis Severino,Athletics,P,25000000
Trevor Story,Boston Red Sox,SS,25000000
Garrett Crochet,Boston Red Sox,P,24800000
Aaron Nola,Philadelphia Phillies,P,24571428
George Springer,Toronto Blue Jays,OF,24166667
Luis Castillo,Seattle Mariners,P,24150000
Christian Yelich,Milwaukee Brewers,OF,24032605
Javier Báez,Detroit Tigers,SS,24000000
Jung Hoo Lee,San Francisco Giants,OF,23250000
Kevin Gausman,Toronto Blue Jays,P,23000000
Logan Webb,San Francisco Giants,P,23000000
Freddie Freeman,Los Angeles Dodgers,1B,22874920
Framber Valdez,Detroit Tigers,P,22826679
Zac Gallen,Arizona Diamondbacks,P,22025000
Trent Grisham,New York Yankees,OF,22025000
Shota Imanaga,Chicago Cubs,P,22025000
Gleyber Torres,Detroit Tigers,2B,22025000
Brandon Woodruff,Milwaukee Brewers,P,22025000
