name,team,salary,position,age,per
A.J. Lawson,Toronto Raptors,2270735,Shooting Guard,25,13.4
Aaron Gordon,Denver Nuggets,22841455,Power Forward,30,18.5
Aaron Nesmith,Indiana Pacers,11000000,Small Forward,26,10.8
Aaron Wiggins,Oklahoma City Thunder,10102802,Shooting Guard,27,11.7
Ace Bailey,Utah Jazz,9069840,Small Forward,19,11.6
Adem Bona,Philadelphia 76ers,1955377,Center,22,12.8
Adou Thiero,Los Angeles Lakers,1272870,Small Forward,21,10.7
AJ Green,Milwaukee Bucks,2301587,Shooting Guard,26,9.4
AJ Johnson,Dallas Mavericks,3090480,Shooting Guard,21,5.6
Ajay Mitchell,Oklahoma City Thunder,3000000,Shooting Guard,23,16.8
Al Horford,Golden State Warriors,5685000,Center,39,14.7
Alex Caruso,Oklahoma City Thunder,18102000,Shooting Guard,31,12.8
Alex Sarr,Washington Wizards,11808240,Center,20,19.4
Alperen Sengun,Houston Rockets,33944954,Center,23,21.4
Amari Williams,Boston Celtics,490128,Power Forward,24,9.7
Amen Thompson,Houston Rockets,9690600,Point Guard,23,18.9
Amir Coffey,Phoenix Suns,2296274,Shooting Guard,28,10.2
Andre Drummond,Philadelphia 76ers,5000000,Center,32,16.4
Andre Jackson Jr.,Milwaukee Bucks,2221677,Shooting Guard,24,6.8
Andrew Nembhard,Indiana Pacers,18102000,Point Guard,26,15.7
Andrew Wiggins,Miami Heat,28223214,Small Forward,30,15.1
Anfernee Simons,Chicago Bulls,27678571,Shooting Guard,26,14.4
Anthony Black,Orlando Magic,7970280,Point Guard,22,13.7
Anthony Davis,Dallas Mavericks,54126450,Power Forward,32,21.5
Anthony Edwards,Minnesota Timberwolves,45550512,Shooting Guard,24,21.8
Anthony Gill,Washington Wizards,2546675,Power Forward,33,13.4
Antonio Reeves,Charlotte Hornets,1955377,Shooting Guard,25,12.4
Ariel Hukporti,New York Knicks,1955377,Center,23,11.9
Asa Newell,Atlanta Hawks,3237480,Power Forward,20,14.2
Ausar Thompson,Detroit Pistons,8775000,Small Forward,23,16.2
Austin Reaves,Los Angeles Lakers,13937574,Shooting Guard,27,20.2
Ayo Dosunmu,Minnesota Timberwolves,7518519,Shooting Guard,26,16.5
Bam Adebayo,Miami Heat,37096620,Center,28,18.7
Baylor Scheierman,Boston Celtics,2619000,Shooting Guard,25,11.6
Ben Saraf,Brooklyn Nets,2884560,Shooting Guard,19,7.8
Ben Sheppard,Indiana Pacers,2790720,Shooting Guard,24,9.7
Bennedict Mathurin,LA Clippers,9187573,Small Forward,23,14.7
Bilal Coulibaly,Washington Wizards,7275600,Shooting Guard,21,13.5
Bismack Biyombo,San Antonio Spurs,2296274,Center,33,4.5
Blake Wesley,Portland Trail Blazers,4726328,Shooting Guard,22,10.8
Bobby Portis,Milwaukee Bucks,13580247,Power Forward,30,17.1
Bobi Klintman,Detroit Pistons,1955377,Small Forward,22,4.5
Bogdan Bogdanovic,LA Clippers,16020000,Shooting Guard,33,8.9
Bones Hyland,Minnesota Timberwolves,2296274,Point Guard,25,15.1
Bradley Beal,LA Clippers,5354000,Shooting Guard,32,5.1
Brandin Podziemski,Golden State Warriors,3687960,Shooting Guard,22,15
Brandon Clarke,Memphis Grizzlies,12500000,Power Forward,29,12.3
Brandon Ingram,Toronto Raptors,38095238,Small Forward,28,16.3
Brandon Miller,Charlotte Hornets,11968800,Small Forward,23,16.8
Brandon Williams,Dallas Mavericks,2270735,Point Guard,26,16.8
Brice Sensabaugh,Utah Jazz,2693760,Small Forward,22,14.4
Bronny James,Los Angeles Lakers,1955377,Shooting Guard,21,9
Brook Lopez,LA Clippers,8750000,Center,37,12.3
Bruce Brown,Denver Nuggets,2296274,Shooting Guard,29,10.8
Bryce McGowens,New Orleans Pelicans,724598,Shooting Guard,23,11.7
Bub Carrington,Washington Wizards,4677600,Point Guard,20,9.9
Buddy Hield,Atlanta Hawks,9219512,Shooting Guard,33,12.8
Cade Cunningham,Detroit Pistons,46394100,Point Guard,24,21.6
Caleb Houstan,Atlanta Hawks,699440,Small Forward,23,16.4
Caleb Martin,Dallas Mavericks,9594044,Small Forward,30,9.3
Cam Christie,LA Clippers,1955377,Shooting Guard,20,9.2
Cam Spencer,Memphis Grizzlies,2537989,Shooting Guard,25,17.2
Cam Thomas,Milwaukee Bucks,844607,Shooting Guard,24,12.6
Cam Whitmore,Washington Wizards,3539760,Small Forward,21,13.7
Cameron Johnson,Denver Nuggets,21057065,Small Forward,29,12.8
Cameron Payne,Philadelphia 76ers,712637,Point Guard,31,14.4
Caris LeVert,Detroit Pistons,14104000,Shooting Guard,31,10.9
Carter Bryant,San Antonio Spurs,4900320,Power Forward,20,9.9
Cason Wallace,Oklahoma City Thunder,5820240,Shooting Guard,22,12.1
Cedric Coward,Memphis Grizzlies,5715120,Shooting Guard,22,15.3
Chaz Lanier,Detroit Pistons,1372870,Shooting Guard,24,6.6
Chet Holmgren,Oklahoma City Thunder,13731368,Power Forward,23,21.6
Chris Boucher,Boston Celtics,2296274,Power Forward,33,7.7
Chris Paul,LA Clippers,2296274,Point Guard,40,8.1
Christian Braun,Denver Nuggets,4921797,Shooting Guard,24,12.6
CJ McCollum,Atlanta Hawks,30666666,Point Guard,34,15.9
Clint Capela,Houston Rockets,6700000,Center,31,17.9
Coby White,Charlotte Hornets,12888889,Shooting Guard,25,16.1
Cody Martin,Indiana Pacers,8680000,Small Forward,30,3
Cody Williams,Utah Jazz,5742480,Shooting Guard,21,9.6
Colby Jones,Detroit Pistons,2221677,Shooting Guard,23,12.9
Cole Anthony,Milwaukee Bucks,2296274,Point Guard,25,10.7
Colin Castleton,Orlando Magic,2191897,Center,25,7.9
Collin Gillespie,Phoenix Suns,2296274,Point Guard,26,15.3
Collin Murray-Boyles,Toronto Raptors,6332520,Power Forward,20,16.4
Collin Sexton,Chicago Bulls,19170000,Shooting Guard,27,17.4
Cooper Flagg,Dallas Mavericks,14386320,Small Forward,19,17.9
Corey Kispert,Atlanta Hawks,13975000,Small Forward,26,13.1
Craig Porter Jr.,Cleveland Cavaliers,2221677,Point Guard,25,13.7
D'Angelo Russell,Dallas Mavericks,5685000,Point Guard,29,12.3
Dalton Knecht,Los Angeles Lakers,4010160,Small Forward,24,10.1
Damian Lillard,Portland Trail Blazers,14104000,Point Guard,35,
Daniel Gafford,Dallas Mavericks,14386320,Center,27,18.8
Daniss Jenkins,Detroit Pistons,3809524,Point Guard,24,13.4
Danny Wolf,Brooklyn Nets,2801280,Power Forward,21,12.3
Dante Exum,Washington Wizards,2296274,Point Guard,30,
DaQuan Jeffries,Sacramento Kings,2743776,Shooting Guard,28,16.3
Dario Saric,Sacramento Kings,5426000,Center,31,0.6
Dariq Whitehead,Memphis Grizzlies,3262560,Small Forward,21,8.7
Darius Garland,LA Clippers,39446090,Point Guard,26,17.1
DaRon Holmes II,Denver Nuggets,3218760,Power Forward,23,13.4
Davion Mitchell,Miami Heat,11600000,Point Guard,27,12.1
Day'Ron Sharpe,Brooklyn Nets,6250000,Center,24,20.5
De'Aaron Fox,San Antonio Spurs,37096620,Point Guard,28,17.6
De'Andre Hunter,Sacramento Kings,23303571,Small Forward,28,11.4
De'Anthony Melton,Golden State Warriors,3080921,Point Guard,27,13.4
Dean Wade,Cleveland Cavaliers,6623456,Power Forward,29,10.9
Deandre Ayton,Los Angeles Lakers,8104000,Center,27,18.2
DeAndre Jordan,New Orleans Pelicans,2269880,Center,37,15.7
Dejounte Murray,New Orleans Pelicans,30801103,Point Guard,29,18.1
DeMar DeRozan,Sacramento Kings,24570000,Power Forward,36,17.8
Deni Avdija,Portland Trail Blazers,14375000,Small Forward,25,20.3
Dennis Schroder,Cleveland Cavaliers,14104000,Point Guard,32,12.9
Dereck Lively II,Dallas Mavericks,5253360,Center,21,15
Derik Queen,New Orleans Pelicans,5157960,Center,21,15.9
Derrick Jones Jr.,LA Clippers,10000000,Small Forward,28,13.3
Derrick White,Boston Celtics,28100001,Shooting Guard,31,16
Desmond Bane,Orlando Magic,36725670,Shooting Guard,27,16.9
Devin Booker,Phoenix Suns,53142264,Shooting Guard,29,20.4
Devin Carter,Sacramento Kings,4923720,Point Guard,23,13.8
Devin Vassell,San Antonio Spurs,27000000,Shooting Guard,25,13
Dillon Brooks,Phoenix Suns,22124110,Small Forward,30,14.1
Dillon Jones,New York Knicks,2753280,Small Forward,24,10.3
Domantas Sabonis,Sacramento Kings,43636000,Center,29,19.2
Dominick Barlow,Philadelphia 76ers,3415000,Power Forward,22,13.2
Donovan Clingan,Portland Trail Blazers,7178400,Center,21,20.9
Donovan Mitchell,Cleveland Cavaliers,46394100,Shooting Guard,29,22.9
Donte DiVincenzo,Minnesota Timberwolves,11990000,Shooting Guard,29,12.5
Dorian Finney-Smith,Houston Rockets,12700000,Power Forward,32,5.8
Doug McDermott,Sacramento Kings,2296274,Small Forward,34,8.6
Drake Powell,Brooklyn Nets,3372240,Shooting Guard,20,7.3
Draymond Green,Golden State Warriors,25892857,Power Forward,35,10.4
Drew Eubanks,Sacramento Kings,2296274,Center,28,13.6
Drew Timme,Los Angeles Lakers,1955377,Power Forward,25,12.6
Dru Smith,Miami Heat,2378870,Shooting Guard,28,14.5
Duncan Robinson,Detroit Pistons,16834692,Shooting Guard,31,12.4
Duop Reath,Portland Trail Blazers,2221677,Center,29,10.6
Dwight Powell,Dallas Mavericks,4000000,Center,34,12.6
Dylan Cardwell,Sacramento Kings,871000,Center,24,15.8
Dylan Harper,San Antonio Spurs,12370320,Shooting Guard,19,16.2
Dyson Daniels,Atlanta Hawks,7707709,Shooting Guard,22,15.5
Egor Demin,Brooklyn Nets,6889200,Point Guard,19,11.3
Eric Gordon,Philadelphia 76ers,3468960,Shooting Guard,37,14.4
Evan Mobley,Cleveland Cavaliers,46394100,Power Forward,24,20
Franz Wagner,Orlando Magic,38661750,Small Forward,24,19.2
Fred VanVleet,Houston Rockets,25000000,Point Guard,31,
Gabe Vincent,Atlanta Hawks,11500000,Point Guard,29,6.5
Garrett Temple,Toronto Raptors,2296274,Shooting Guard,39,5.7
Gary Harris,Milwaukee Bucks,3634153,Shooting Guard,31,8
Gary Payton II,Golden State Warriors,2296274,Shooting Guard,33,18.3
Gary Trent Jr.,Milwaukee Bucks,3697105,Shooting Guard,27,8
Georges Niang,Memphis Grizzlies,8200000,Power Forward,32,
GG Jackson,Memphis Grizzlies,2221677,Power Forward,21,15.6
Giannis Antetokounmpo,Milwaukee Bucks,54126450,Power Forward,31,32.6
Goga Bitadze,Orlando Magic,8333333,Center,26,20.1
Gradey Dick,Toronto Raptors,4990560,Shooting Guard,22,10.7
Grant Williams,Charlotte Hornets,13645500,Power Forward,27,12.9
Grayson Allen,Phoenix Suns,16875000,Shooting Guard,30,16.1
Guerschon Yabusele,Chicago Bulls,5500000,Center,30,11.1
Gui Santos,Golden State Warriors,2221677,Power Forward,23,14.2
Harrison Barnes,San Antonio Spurs,19000000,Power Forward,33,11.8
Haywood Highsmith,Phoenix Suns,827984,Small Forward,29,17.6
Herbert Jones,New Orleans Pelicans,13937574,Small Forward,27,9.1
Hugo Gonzalez,Boston Celtics,2783880,Small Forward,19,10.2
Hunter Tyson,Denver Nuggets,2221677,Power Forward,25,6.4
Immanuel Quickley,Toronto Raptors,32500000,Point Guard,26,16.6
Isaac Jones,Detroit Pistons,1955377,Power Forward,25,6.4
Isaac Okoro,Chicago Bulls,11000000,Shooting Guard,25,9.8
Isaiah Collier,Utah Jazz,2638200,Point Guard,21,14.8
Isaiah Hartenstein,Oklahoma City Thunder,28500000,Center,27,19.8
Isaiah Jackson,LA Clippers,7000000,Center,24,17.3
Isaiah Joe,Oklahoma City Thunder,12362338,Shooting Guard,26,15.5
Isaiah Stewart,Detroit Pistons,15000000,Center,24,15.2
Ivica Zubac,Indiana Pacers,18102000,Center,28,18.6
Ja Morant,Memphis Grizzlies,39446090,Point Guard,26,16.6
Ja'Kobe Walter,Toronto Raptors,3638160,Shooting Guard,21,11.8
Jabari Smith Jr.,Houston Rockets,12350392,Power Forward,22,13.5
Jabari Walker,Philadelphia 76ers,724598,Power Forward,23,12.5
Jaden Hardy,Washington Wizards,6000000,Shooting Guard,23,10.9
Jaden Ivey,Chicago Bulls,10107163,Shooting Guard,23,13
Jaden McDaniels,Minnesota Timberwolves,24858622,Power Forward,25,14
Jaden Springer,New Orleans Pelicans,2349578,Shooting Guard,23,
Jae'Sean Tate,Houston Rockets,2296274,Small Forward,30,10.7
Jaime Jaquez Jr.,Miami Heat,3861600,Small Forward,24,15.7
Jake LaRavia,Los Angeles Lakers,6000000,Power Forward,24,11.9
Jakob Poeltl,Toronto Raptors,19500000,Center,30,18.1
Jalen Brunson,New York Knicks,34944001,Point Guard,29,20.1
Jalen Duren,Detroit Pistons,6483144,Center,22,26.1
Jalen Green,Phoenix Suns,33548499,Shooting Guard,23,14.8
Jalen Johnson,Atlanta Hawks,30000000,Small Forward,24,20.4
Jalen Pickett,Denver Nuggets,2221677,Shooting Guard,26,10.3
Jalen Smith,Chicago Bulls,9000000,Center,25,16.6
Jalen Suggs,Orlando Magic,35000000,Point Guard,24,15.6
Jalen Williams,Oklahoma City Thunder,6580997,Shooting Guard,24,19
Jalen Wilson,Brooklyn Nets,2221677,Power Forward,25,8.7
Jamal Murray,Denver Nuggets,46394100,Point Guard,28,21.8
Jamal Shead,Toronto Raptors,1955377,Point Guard,23,10.5
Jamaree Bouyea,Phoenix Suns,574210,Point Guard,26,13.5
James Harden,Cleveland Cavaliers,39446090,Point Guard,36,20.7
James Wiseman,Indiana Pacers,2667947,Center,24,4.1
Jamir Watkins,Washington Wizards,1131970,Shooting Guard,24,11.8
Jamison Battle,Toronto Raptors,1955377,Small Forward,24,10.6
Jarace Walker,Indiana Pacers,6665520,Power Forward,22,11.5
Jared Butler,Phoenix Suns,2349578,Point Guard,25,
Jared McCain,Oklahoma City Thunder,4221360,Shooting Guard,21,11.6
Jaren Jackson Jr.,Utah Jazz,35000000,Center,26,15.7
Jarred Vanderbilt,Los Angeles Lakers,11571429,Power Forward,26,11.2
Jarrett Allen,Cleveland Cavaliers,20000000,Center,27,22.1
Jase Richardson,Orlando Magic,2983320,Shooting Guard,20,11.5
Javonte Green,Detroit Pistons,2296274,Shooting Guard,32,14.1
Jaxson Hayes,Los Angeles Lakers,3449324,Center,25,18.3
Jay Huff,Indiana Pacers,2349578,Center,27,15.2
Jaylen Brown,Boston Celtics,53142264,Small Forward,29,22
Jaylen Clark,Minnesota Timberwolves,2191897,Shooting Guard,24,10.3
Jaylen Wells,Memphis Grizzlies,1955377,Shooting Guard,22,11.5
Jaylin Williams,Oklahoma City Thunder,8450794,Power Forward,23,13.8
Jaylon Tyson,Cleveland Cavaliers,3492480,Shooting Guard,23,14.8
Jayson Tatum,Boston Celtics,54126450,Power Forward,27,20.3
JD Davison,Houston Rockets,2270735,Point Guard,23,11.4
Jeff Green,Houston Rockets,2296274,Power Forward,39,8.5
Jerami Grant,Portland Trail Blazers,32000000,Power Forward,31,15.4
Jeremiah Fears,New Orleans Pelicans,7520040,Point Guard,19,13.8
Jeremy Sochan,New York Knicks,778622,Power Forward,22,12.2
Jericho Sims,Milwaukee Bucks,2461463,Center,27,12.9
Jett Howard,Orlando Magic,5529720,Small Forward,22,11.2
Jevon Carter,Orlando Magic,871000,Point Guard,30,10.7
Jimmy Butler III,Golden State Warriors,54126450,Small Forward,36,23.5
Joan Beringer,Minnesota Timberwolves,4201080,Power Forward,19,21.3
Jock Landale,Atlanta Hawks,2296274,Center,30,16.6
Joe Ingles,Minnesota Timberwolves,2296274,Small Forward,38,13
Joel Embiid,Philadelphia 76ers,55224526,Center,31,24.7
John Collins,LA Clippers,26580000,Power Forward,28,16.3
John Konchar,Utah Jazz,6165000,Shooting Guard,29,13.6
Johni Broome,Philadelphia 76ers,1272870,Center,23,0.4
Johnny Furphy,Indiana Pacers,1955377,Shooting Guard,21,9.2
Jonas Valanciunas,Denver Nuggets,10395000,Center,33,22
Jonathan Isaac,Orlando Magic,15000000,Power Forward,28,11.5
Jonathan Kuminga,Atlanta Hawks,22500000,Power Forward,23,14.2
Jonathan Mogbo,Toronto Raptors,1955377,Power Forward,24,12.8
Jordan Clarkson,New York Knicks,2296274,Shooting Guard,33,11.6
Jordan Goodwin,Phoenix Suns,2349578,Point Guard,27,14.7
Jordan Hawkins,New Orleans Pelicans,4741320,Shooting Guard,23,7.6
Jordan McLaughlin,San Antonio Spurs,2296274,Point Guard,29,12
